clock,period,teamTricode,personId,playerName,playerNameI,xLegacy,yLegacy,shotDistance,shotResult,isFieldGoal,scoreHome,scoreAway,pointsTotal,location,description,actionType,subType,shotValue
PT06M07.00S,2,DAL,1630619,Cisse,M. Cisse,0,0,0,,0,,,0,h,Cisse REBOUND (Off:1 Def:3),Rebound,Unknown,0
PT05M50.00S,2,DAL,1642967,Poulakidas,J. Poulakidas,188,173,26,Made,1,68,44,112,h,Poulakidas 26' 3PT Jump Shot (3 PTS) (Nembhard 9 AST),Made Shot,Jump Shot,3
PT05M49.00S,2,,1610612741,,,0,0,0,,0,,,0,v,Bulls Timeout: Regular (Reg.3 Short 0),Timeout,Regular,0
PT05M49.00S,2,DAL,1631108,Christie,M. Christie,0,0,0,,0,,,0,h,SUB: Johnson FOR Christie,Substitution,,0
PT05M49.00S,2,DAL,1642967,Poulakidas,J. Poulakidas,0,0,0,,0,,,0,h,SUB: Thompson FOR Poulakidas,Substitution,,0
PT05M49.00S,2,DAL,1642948,Nembhard,R. Nembhard,0,0,0,,0,,,0,h,SUB: Powell FOR Nembhard,Substitution,,0
PT05M38.00S,2,CHI,1630172,Williams,P. Williams,1,36,4,Made,1,68,46,114,v,Williams 4' Turnaround Hook Shot (7 PTS),Made Shot,Turnaround Hook Shot,2
PT05M38.00S,2,DAL,1630619,Cisse,M. Cisse,0,0,0,,0,,,0,h,Cisse Violation:Defensive Goaltending (M.Kogut),Violation,Defensive Goaltending,0
PT05M27.00S,2,DAL,1630619,Cisse,M. Cisse,-12,30,3,Missed,1,,,0,h,MISS Cisse 3' Cutting Layup Shot,Missed Shot,Cutting Layup Shot,2
PT05M25.00S,2,,1610612741,,,0,0,0,,0,,,0,v,Bulls Rebound,Rebound,Unknown,0
PT05M25.00S,2,CHI,1630644,McClung,M. McClung,0,0,0,,0,,,0,v,SUB: Gueye FOR McClung,Substitution,,0
PT05M25.00S,2,CHI,1642265,Dillingham,R. Dillingham,0,0,0,,0,,,0,v,SUB: Sexton FOR Dillingham,Substitution,,0
PT05M25.00S,2,CHI,1642950,Olbrich,L. Olbrich,0,0,0,,0,,,0,v,SUB: Jones FOR Olbrich,Substitution,,0
PT05M16.00S,2,DAL,1642358,Johnson,A. Johnson,0,0,0,,0,,,0,h,Johnson P.FOUL (P3.T2) (B.Taylor),Foul,Personal,0
PT05M16.00S,2,DAL,1642358,Johnson,A. Johnson,0,0,0,,0,,,0,h,SUB: Nembhard FOR Johnson,Substitution,,0
PT05M00.00S,2,CHI,1629012,Sexton,C. Sexton,4,91,9,Missed,1,,,0,v,MISS Sexton 9' Fadeaway Jumper,Missed Shot,Fadeaway Jump Shot,2
PT04M58.00S,2,DAL,1630619,Cisse,M. Cisse,0,0,0,,0,,,0,h,Cisse REBOUND (Off:1 Def:4),Rebound,Unknown,0
PT04M40.00S,2,CHI,1629012,Sexton,C. Sexton,0,0,0,,0,,,0,v,Sexton S.FOUL (P2.T3) (B.Taylor),Foul,Shooting,0
PT04M40.00S,2,DAL,1630619,Cisse,M. Cisse,0,0,0,,0,69,46,115,h,Cisse Free Throw 1 of 2 (5 PTS),Free Throw,Free Throw 1 of 2,0
PT04M40.00S,2,DAL,1630619,Cisse,M. Cisse,0,0,0,,0,70,46,116,h,Cisse Free Throw 2 of 2 (6 PTS),Free Throw,Free Throw 2 of 2,0
PT04M29.00S,2,CHI,1630200,Jones,T. Jones,-99,160,19,Missed,1,,,0,v,MISS Jones 19' Pullup Jump Shot,Missed Shot,Pullup Jump shot,2
PT04M26.00S,2,DAL,1641890,Smith,T. Smith,0,0,0,,0,,,0,h,Smith REBOUND (Off:1 Def:5),Rebound,Unknown,0
PT04M15.00S,2,DAL,202691,Thompson,K. Thompson,208,8,21,Missed,1,,,0,h,MISS Thompson 21' Step Back Jump Shot,Missed Shot,Step Back Jump shot,2
PT04M14.00S,2,DAL,1630619,Cisse,M. Cisse,0,0,0,,0,,,0,h,Cisse REBOUND (Off:2 Def:4),Rebound,Unknown,0
PT04M13.00S,2,DAL,1630619,Cisse,M. Cisse,26,20,3,Missed,1,,,0,h,MISS Cisse 3' Putback Layup,Missed Shot,Putback Layup Shot,2
PT04M13.00S,2,CHI,1630172,Williams,P. Williams,0,0,0,,0,,,0,v,Williams BLOCK (1 BLK),,,2
PT04M12.00S,2,,1610612741,,,0,0,0,,0,,,0,v,Bulls Rebound,Rebound,Unknown,0
PT03M55.00S,2,CHI,1630200,Jones,T. Jones,31,-4,3,Missed,1,,,0,v,MISS Jones 3' Driving Layup,Missed Shot,Driving Layup Shot,2
PT03M53.00S,2,CHI,1631338,Gueye,M. Gueye,0,0,0,,0,,,0,v,Gueye REBOUND (Off:1 Def:0),Rebound,Unknown,0
PT03M53.00S,2,CHI,1631338,Gueye,M. Gueye,0,0,0,Made,1,70,48,118,v,Gueye Tip Layup Shot (2 PTS),Made Shot,Tip Layup Shot,2
PT03M44.00S,2,DAL,202691,Thompson,K. Thompson,188,176,26,Made,1,73,48,121,h,Thompson 26' 3PT Jump Shot (9 PTS) (Nembhard 10 AST),Made Shot,Jump Shot,3
PT03M23.00S,2,CHI,1629012,Sexton,C. Sexton,9,16,2,Made,1,73,50,123,v,Sexton 2' Driving Layup (9 PTS),Made Shot,Driving Layup Shot,2
PT03M09.00S,2,DAL,202691,Thompson,K. Thompson,196,159,25,Made,1,76,50,126,h,Thompson 25' 3PT Jump Shot (12 PTS) (Nembhard 11 AST),Made Shot,Jump Shot,3
PT02M50.00S,2,CHI,1631159,Miller,L. Miller,18,155,16,Made,1,76,52,128,v,Miller 16' Step Back Jump Shot (6 PTS),Made Shot,Step Back Jump shot,2
PT02M32.00S,2,DAL,202691,Thompson,K. Thompson,-223,110,25,Missed,1,,,0,h,MISS Thompson 25' 3PT Jump Shot,Missed Shot,Jump Shot,3
PT02M29.00S,2,DAL,1630619,Cisse,M. Cisse,0,0,0,,0,,,0,h,Cisse REBOUND (Off:3 Def:4),Rebound,Unknown,0
PT02M28.00S,2,DAL,1630619,Cisse,M. Cisse,0,0,0,,0,,,0,h,Cisse Lost Ball Turnover (P1.T8),Turnover,Lost Ball,0
PT02M28.00S,2,CHI,1631338,Gueye,M. Gueye,0,0,0,,0,,,0,v,Gueye STEAL (2 STL),,,0
PT02M25.00S,2,CHI,1630172,Williams,P. Williams,0,0,0,,0,,,0,v,Williams Bad Pass Turnover (P1.T7),Turnover,Bad Pass,0
PT02M25.00S,2,DAL,202691,Thompson,K. Thompson,0,0,0,,0,,,0,h,Thompson STEAL (1 STL),,,0
PT02M20.00S,2,DAL,202691,Thompson,K. Thompson,-228,108,25,Missed,1,,,0,h,MISS Thompson 25' 3PT Running Jump Shot,Missed Shot,Running Jump Shot,3
PT02M18.00S,2,DAL,1630619,Cisse,M. Cisse,0,0,0,,0,,,0,h,Cisse REBOUND (Off:4 Def:4),Rebound,Unknown,0
PT02M17.00S,2,DAL,1630619,Cisse,M. Cisse,-1,0,0,Missed,1,,,0,h,MISS Cisse Putback Layup,Missed Shot,Putback Layup Shot,2
PT02M17.00S,2,CHI,1630172,Williams,P. Williams,0,0,0,,0,,,0,v,Williams REBOUND (Off:0 Def:2),Rebound,Unknown,0
PT02M11.00S,2,CHI,1629012,Sexton,C. Sexton,20,8,2,Missed,1,,,0,v,MISS Sexton 2' Running Layup,Missed Shot,Running Layup Shot,2
PT02M09.00S,2,DAL,203939,Powell,D. Powell,0,0,0,,0,,,0,h,Powell REBOUND (Off:1 Def:4),Rebound,Unknown,0
PT02M03.00S,2,DAL,202691,Thompson,K. Thompson,87,234,25,Missed,1,,,0,h,MISS Thompson 25' 3PT Step Back Jump Shot,Missed Shot,Step Back Jump shot,3
PT02M03.00S,2,,1610612741,,,0,0,0,,0,,,0,v,Bulls Rebound,Rebound,Unknown,0
